country,year,co2,co2_per_capita,renewable_share
Germany,1998,923.4986572265624,11.260540008544922,4.529730796813965
Germany,1999,895.4420166015625,10.963037490844728,5.226937294006348
Germany,2000,898.9757690429688,10.9902925491333,6.223745346069336
Germany,2001,915.2547607421876,11.170650482177734,6.54299259185791
Germany,2002,898.8342895507812,10.95226764678955,7.621283054351807
Germany,2003,894.5010986328125,10.893721580505373,7.752104759216309
Germany,2004,876.56982421875,10.677803993225098,9.509514808654783
Germany,2005,867.8804931640625,10.577879905700684,10.341734886169434
Germany,2006,886.434326171875,10.849607467651367,11.51380443572998
Germany,2007,846.1529541015625,10.407971382141112,14.172080993652344
Germany,2008,856.6425170898438,10.561388969421388,14.925114631652832
Germany,2009,789.9839477539062,9.760687828063965,16.34124755859375
Germany,2010,826.7047119140625,10.227580070495604,16.886945724487305
Germany,2011,804.5415649414062,9.95007038116455,20.56694221496582
Germany,2012,814.093017578125,10.06091594696045,23.13612174987793
Germany,2013,831.7455444335938,10.263195037841797,24.13092041015625
Germany,2014,792.5836181640625,9.739761352539062,26.170503616333008
Germany,2015,800.822509765625,9.756901741027832,29.43504905700684
Germany,2016,797.98828125,9.642186164855955,29.481544494628903
Germany,2017,784.5951538085938,9.441122055053713,33.46677780151367
Germany,2018,758.7713623046875,9.101414680480955,35.25811004638672
Germany,2019,708.6489868164062,8.480802536010742,40.18896865844727
Germany,2020,647.1768188476562,7.738691806793213,44.37406539916992
Germany,2021,677.9976806640625,8.100613594055176,40.16723251342773
Germany,2022,667.843017578125,7.94235897064209,44.372703552246094
India,1990,577.986572265625,0.6682140231132507,23.097129821777344
India,1991,615.38818359375,0.6961974501609802,23.13156509399414
India,1992,655.4235229492188,0.7258634567260742,20.84173583984375
India,1993,677.2620849609375,0.7344632744789124,19.6256160736084
India,1994,714.0427856445312,0.7586807012557983,20.82230758666992
India,1995,760.4801635742188,0.7919185161590576,18.022327423095703
India,1996,823.6021728515625,0.8406862020492554,15.951549530029297
India,1997,857.9757690429688,0.8587195873260498,15.386590957641602
India,1998,875.7833862304688,0.8597363233566284,17.02910041809082
India,1999,961.19384765625,0.9258042573928832,15.599824905395508
India,2000,987.0650634765624,0.9330219030380248,14.048197746276855
India,2001,1001.1984252929688,0.928842842578888,12.999710083007812
India,2002,1032.7503662109375,0.9409165382385254,11.938192367553713
India,2003,1068.39794921875,0.9566574692726136,11.695108413696287
India,2004,1134.6109619140625,0.9987847208976746,15.637529373168944
India,2005,1195.393310546875,1.0352627038955688,15.25435733795166
India,2006,1293.3214111328125,1.1026897430419922,17.135257720947266
India,2007,1393.4852294921875,1.1703311204910278,17.801973342895508
India,2008,1490.366455078125,1.2338175773620603,16.768268585205078
India,2009,1613.32763671875,1.3164381980895996,15.165655136108398
India,2010,1678.529541015625,1.349862813949585,15.114428520202637
India,2011,1765.69482421875,1.3999841213226318,16.655689239501953
India,2012,1926.986328125,1.5070186853408811,14.868340492248535
India,2013,1995.337158203125,1.539814591407776,16.034454345703125
India,2014,2148.052001953125,1.636888861656189,15.770488739013672
India,2015,2231.8173828125,1.6805543899536133,14.625044822692873
India,2016,2352.5400390625,1.750474452972412,14.437999725341797
India,2017,2425.721923828125,1.7840684652328491,15.45141887664795
India,2018,2595.22705078125,1.8879060745239256,16.293703079223633
India,2019,2611.174560546875,1.8798543214797971,18.13825798034668
India,2020,2422.73193359375,1.7272932529449463,19.395660400390625
India,2021,2675.778076171875,1.8920737504959104,19.01302146911621
India,2022,2831.131591796875,1.9861692190170288,20.257566452026367
Ireland,1990,32.9453010559082,9.375401496887209,4.926108360290527
Ireland,1991,33.67516326904297,9.528213500976562,5.030180931091309
Ireland,1992,33.496131896972656,9.413211822509766,5.2664971351623535
Ireland,1993,33.71714782714844,9.428421974182127,4.838709354400635
Ireland,1994,34.838993072509766,9.70401668548584,5.598570346832275
Ireland,1995,35.85335922241211,9.929766654968262,4.154809474945068
Ireland,1996,37.46946334838867,10.298032760620115,4.027556896209717
Ireland,1997,38.804935455322266,10.566967010498049,4.122137546539307
Ireland,1998,40.70844268798828,10.96944808959961,5.6594719886779785
Ireland,1999,42.44031524658203,11.308557510375977,5.202578544616699
Ireland,2000,45.24951553344727,11.899660110473633,4.995765686035156
Ireland,2001,47.60771179199219,12.32408618927002,4.190398693084717
Ireland,2002,46.08138656616211,11.730196952819824,5.564516067504883
Ireland,2003,45.683963775634766,11.44119930267334,4.593070030212402
Ireland,2004,46.1667366027832,11.35415267944336,5.520254135131836
Ireland,2005,48.15299224853516,11.58837890625,7.310398578643799
Ireland,2006,47.59738540649414,11.150127410888672,9.124492645263672
Ireland,2007,47.6581916809082,10.847387313842772,9.918813705444336
Ireland,2008,47.36107635498047,10.557547569274902,12.044161796569824
Ireland,2009,42.17707061767578,9.302910804748535,14.745882987976074
